domain,title,ip,server
www.gov.tw,政府入口網,117.56.68.149,Microsoft-IIS/7.5
search3.www.gov.tw,政府入口網_搜尋頁,117.56.68.135,Apache-Coyote/1.1
www.cp.gov.tw,,117.56.68.187,Microsoft-IIS/7.5
www.eastcoast-nsa.gov.tw,東部海岸國家風景區,211.79.201.3,Apache
paytax.nat.gov.tw,網路繳稅服務,60.250.165.40,Microsoft-IIS/7.5
www.mof.gov.tw,"中華民國財政部 Ministry of Finance, R.O.C.",210.69.109.14,Microsoft-IIS/8.0
www.etax.nat.gov.tw,稅務入口網,117.56.219.80,
ttqs.wda.gov.tw,人才發展品質管理系統-[錯誤提示],163.29.199.161,Microsoft-IIS/7.5
digg.www.gov.tw,"政府入口網- 生活情報",117.56.68.138,Apache
app.www.gov.tw,行動服務,117.56.68.149,Microsoft-IIS/7.5
webcam.www.gov.tw,政府入口網-台灣看透透,117.56.68.145,Apache
cms.www.gov.tw,,117.56.68.149,Microsoft-IIS/7.5
rss.www.gov.tw,政府入口網-RSS訂閱中心,117.56.68.149,Microsoft-IIS/7.5
mobile.www.gov.tw,政府入口網,117.56.68.41,Apache
www.taiwan.gov.tw,Taiwan.gov.tw,117.56.33.13,
www.service.gov.tw,"電子化政府基礎建設 - 客戶服務中心-線上客服首頁",117.56.91.24,"Apache/2.2.15 (CentOS)"
survey.www.gov.tw,,117.56.68.41,Apache
search2.www.gov.tw,,,
serving.eastcoast-nsa.gov.tw,觀光局東部海岸國家風景區行政資訊網,211.79.201.3,Apache
travelmasters.eastcoast-nsa.gov.tw,東海岸旅遊達人活動,211.79.201.3,Apache
www.cwb.gov.tw,中央氣象局全球資訊網,210.65.0.71,Apache
reading.motc.gov.tw,中華民國交通部漂書主題網,223.200.48.62,"Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.0-fips DAV/2 Resin/3.1.14"
invoice.etax.nat.gov.tw,財政部稅務入口網,117.56.219.87,
www.ttc.gov.tw,,210.69.109.31,Microsoft-IIS/6.0
law-out.mof.gov.tw,財政部-主管法規查詢系統(外部版),210.69.109.20,Microsoft-IIS/7.5
www.fnp.gov.tw,財政部國有財產署網站,210.69.164.63,Apache
www.dot.gov.tw,財政部賦稅署資訊網,61.57.40.8,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips mod_jk/1.2.40"
web.customs.gov.tw,"首頁 - 財政部關務署",210.69.119.1,Microsoft-IIS/7.5
ppp.mof.gov.tw,,210.69.109.34,Microsoft-IIS/8.0
win.dgbas.gov.tw,行政院主計總處,117.56.91.10,Microsoft-IIS/7.0
web02.mof.gov.tw,IIS7,210.69.109.13,Microsoft-IIS/7.5
www.dgbas.gov.tw,行政院主計總處,117.56.91.10,Microsoft-IIS/7.0
www.gec.ey.gov.tw,行政院性別平等會,117.56.132.11,
web01.mof.gov.tw,,210.69.109.17,Microsoft-IIS/6.0
www.moi.gov.tw,中華民國內政部全球資訊網,210.69.35.201,Microsoft-IIS/7.5
web.pcc.gov.tw,,61.57.42.137,IBM_HTTP_Server
www.nta.gov.tw,"財政部國庫署 National Treasury Administration, Ministry of Finance",163.29.58.23,NULL
www.einvoice.nat.gov.tw,財政部電子發票整合服務平台,117.56.24.203,BigIP
dpa.mof.gov.tw,財政部人事處,210.69.109.31,Microsoft-IIS/6.0
net.tax.nat.gov.tw,,203.69.82.162,
ecolife.epa.gov.tw,"首頁 ::: EcoLife清淨家園顧厝邊綠色生活網",223.200.80.31,nginx
www.tax.nat.gov.tw,歡迎光臨財政部電子申報繳稅服務,210.61.79.83,Apache
www.ndc.gov.tw,國家發展委員會,117.56.68.140,Microsoft-IIS/8.0
gazette.nat.gov.tw,,117.56.91.164,Apache-Coyote/1.1
www.fda.gov.tw,衛生福利部食品藥物管理署-網頁錯誤訊息,210.69.111.13,Microsoft-IIS/8.5
law.moj.gov.tw,全國法規資料庫入口網站,163.29.130.173,Microsoft-IIS/8.5
greenliving.epa.gov.tw,,223.200.80.191,"Apache/2.4.7 (Unix) OpenSSL/1.0.1e"
www.ey.gov.tw,行政院全球資訊網,117.56.132.11,
www8.www.gov.tw,電子化政府入口網,117.56.68.141,Microsoft-IIS/7.5
www.land.moi.gov.tw,中華民國內政部地政司全球資訊網,210.69.87.4,Microsoft-IIS/8.5
ihc.apc.gov.tw,原住民族文獻會電子期刊,117.56.4.240,"Apache/2.2.15 (CentOS)"
www.mac.gov.tw,行政院大陸委員會全球網,117.56.123.1,Microsoft-IIS/7.5
hdsd.ndc.gov.tw,花東地區永續發展,117.56.68.140,Microsoft-IIS/8.0
www.humanrights.moj.gov.tw,人權大步走專區,163.29.130.141,Microsoft-IIS/7.5
www.moea.gov.tw,"中華民國經濟部(Ministry of Economic Affairs,R.O.C.)全球資訊網",210.69.121.2,Microsoft-IIS/7.5
itaiwan.gov.tw,"iTaiwan 無線上網",210.65.182.71,Apache
www.rdec.gov.tw,,,
www.ymsnp.gov.tw,"首頁 | 陽明山國家公園",210.69.204.113,Microsoft-IIS/7.5
www.taroko.gov.tw,太魯閣國家公園形象頁,210.69.204.113,Microsoft-IIS/6.0
www.spnp.gov.tw,雪霸國家公園,210.69.84.113,Microsoft-IIS/7.5
www.necoast-nsa.gov.tw,"東北角暨宜蘭海岸國家風景區管理處 - 錯誤訊息頁/Error Page",211.79.201.1,Microsoft-IIS/7.0
www.northguan-nsa.gov.tw,,211.79.201.12,Microsoft-IIS/7.0
recreation.forest.gov.tw,"歡迎頁 | 台灣山林悠遊網",223.200.90.182,5.0_Pub
kids.www.gov.tw,政府入口網-親子館-首頁,117.56.68.41,Apache
