female.www.gov.tw,政府入口網-女性館-首頁,117.56.68.41,Apache
elders.www.gov.tw,政府入口網-銀髮館-首頁,117.56.68.41,Apache
focus.www.gov.tw,"政府入口網 - 安全專題",117.56.68.145,Apache
www.mofa.gov.tw,,210.69.210.5,Microsoft-IIS/7.5
iff.immigration.gov.tw,"外國人在臺灣 Living in Taiwan",117.56.25.3,Microsoft-IIS/7.0
www.boca.gov.tw,"首頁 - 外交部領事事務局全球資訊網",210.69.144.84,
sixstar.moc.gov.tw,文化部臺灣社區通,210.69.147.33,Apache-Coyote/1.1
search.mof.gov.tw,,210.69.109.29,
www.ejob.gov.tw,,124.199.93.144,Microsoft-IIS/6.0
www.fnpn.gov.tw,財政部國有財產署北區分署,210.69.164.64,"Apache/2.2.15 (Red Hat)"
www.fnpc.gov.tw,首頁-財政部國有財產署中區分署,210.69.164.65,"Apache/2.2.3 (Red Hat)"
www.fnps.gov.tw,財政部國有財產署南區分署-首頁,210.69.164.66,Apache
elearning.hrd.gov.tw,,210.241.85.43,
www.mohw.gov.tw,衛生福利部,203.65.100.146,Microsoft-IIS/7.5
e-iot.iot.gov.tw,交通服務e網通,61.57.40.122,Microsoft-IIS/6.0
www.taiwanjobs.gov.tw,錯誤訊息,163.29.199.131,Microsoft-IIS/7.5
join.gov.tw,首頁-公共政策網路參與平台,117.56.91.204,
etp.cpami.gov.tw,住宅e-Map,210.69.84.24,Microsoft-IIS/6.0
sme.moeasmea.gov.tw,青年創業及圓夢網,61.57.43.153,"Apache/2.4.12 (Win64) OpenSSL/1.0.1m PHP/5.5.25"
index.ndc.gov.tw,國發會-景氣指標查詢系統,117.56.91.133,Apache
tagv.mohw.gov.tw,反性別暴力資源網TAGV,203.65.97.23,Microsoft-IIS/7.5
young.ejob.gov.tw,青年圓夢網,124.199.93.104,Microsoft-IIS/7.5
www.judicial.gov.tw,司法院全球資訊網,210.69.124.205,
www.moj.gov.tw,法務部全球資訊網,163.29.130.130,Microsoft-IIS/7.5
www.ly.gov.tw,,210.69.138.68,
lifelonglearn.dgpa.gov.tw,,,
www.ntbna.gov.tw,,117.56.219.83,
www.ntbca.gov.tw,,163.29.172.84,
www.mofti.gov.tw,"財訓所, Mofti",61.60.106.246,Microsoft-IIS/7.5
www.fia.gov.tw,"財政部 財政資訊中心(Fiscal Information Agency, Ministry of Finance)",210.69.164.2,Microsoft-IIS/7.0
www.handicap-free.nat.gov.tw,"國家通訊傳播委員會 無障礙網路空間服務網",61.67.71.224,Microsoft-IIS/7.5
eweb.customs.gov.tw,"Home - Customs Administration",210.69.119.1,Microsoft-IIS/7.5
museum.customs.gov.tw,海關博物館,210.69.119.1,Microsoft-IIS/7.5
portal.sw.nat.gov.tw,PPL,117.56.24.163,
www.ntbsa.gov.tw,,117.56.218.85,
aeo.customs.gov.tw,,117.56.24.181,"Nothing Server"
taipei.customs.gov.tw,"首頁 - 財政部關務署臺北關",210.69.119.1,Microsoft-IIS/7.0
wwwtest130.etax.nat.gov.tw,,210.69.30.112,
tweb.customs.gov.tw,,,
www7.www.gov.tw,電子化政府入口網,117.56.68.141,Microsoft-IIS/7.5
www.customs.gov.tw,,210.69.119.1,Microsoft-IIS/7.5
ai.gov.tw,禽流感資訊專區-動植物防疫檢疫局,163.29.152.15,"Apache/2.2.15 (CentOS)"
ifi.immigration.gov.tw,新住民培力發展資訊網,117.56.25.3,Microsoft-IIS/7.0
www.nccst.nat.gov.tw,"首頁 -        國家資通安全科技中心",168.63.205.141,Microsoft-IIS/8.5
consumer.fda.gov.tw,衛生福利部食品藥物管理署,210.69.111.150,BigIP
www.stat.gov.tw,中華民國統計資訊網（專業人士）,117.56.91.10,Microsoft-IIS/7.0
www.gender.ey.gov.tw,"性別平等會 國際資訊交流服務網",117.56.132.93,
service.moi.gov.tw,,210.69.35.206,
sowf.moi.gov.tw,公告,210.69.35.223,Microsoft-IIS/6.0
sip.einvoice.nat.gov.tw,,163.29.186.112,
www.fdc.gov.tw,"財政部 財政資訊中心(Fiscal Information Agency, Ministry of Finance)",210.69.164.2,Microsoft-IIS/7.0
www.ntbt.gov.tw,財政部臺北國稅局,117.56.219.81,
www.ntbk.gov.tw,,117.56.219.82,
www.webguide.nat.gov.tw,"國家發展委員會 - 政府網站營運交流平台",117.56.91.128,Microsoft-IIS/7.5
www.dgpa.gov.tw,"行政院人事行政總處- Directorate-General of Personnel Administration,Executive Yuan",210.65.0.50,Microsoft-IIS/8.5
mdc.epa.gov.tw,第2代環境用藥業者許可網路系統,223.200.80.23,Microsoft-IIS/7.0
forum.epa.gov.tw,IIS7,117.56.10.6,Microsoft-IIS/7.5
www.epa.gov.tw,行政院環境保護署,223.200.80.126,Microsoft-IIS/7.5
svc.tax.nat.gov.tw,我想問有關於電子報稅的問題....,,Apache
service.etax.nat.gov.tw,稅務入口網,117.56.218.80,
myegov.www.gov.tw,掌中e生活．政府e把罩,116.50.40.183,Apache
theme.ndc.gov.tw,主題網站,117.56.68.140,Microsoft-IIS/8.0
www.df.gov.tw,行政院國家發展基金-國發基金,60.250.113.133,Microsoft-IIS/8.5
www.archives.gov.tw,"國家發展委員會檔案管理局 – 全球資訊網",210.69.72.54,Microsoft-IIS/7.5
gpivp.nat.gov.tw,ERROR,117.56.91.99,Microsoft-IIS/7.5
cpabom.dgpa.gov.tw,,,
ws.ndc.gov.tw,,117.56.68.232,Microsoft-IIS/8.0
www.tcap.ndc.gov.tw,"共築方舟－氣候變遷調適入口網 - 共築方舟—氣候變遷調適入口網",117.56.91.144,"Apache/2.2.15 (CentOS)"
price.nat.gov.tw,物價資訊看板平台,117.56.91.227,Apache
lib.ndc.gov.tw,"國家發展委員會圖書館 首頁",117.56.166.13,"Apache/2.4.12 (Unix) OpenSSL/1.0.1p PHP/5.6.11 mod_perl/2.0.8-dev Perl/v5.16.3"
compete.law.moj.gov.tw,法治教育測驗專區,175.99.79.200,Apache-Coyote/1.1
sendlaw.moj.gov.tw,,163.29.130.174,Microsoft-IIS/8.5
law.coa.gov.tw,行政院農業委員會-法規草案(外部版),210.69.75.80,Microsoft-IIS/8.5
mohwlaw.mohw.gov.tw,衛生福利法規檢索系統,203.65.107.112,Microsoft-IIS/7.5
law.ncc.gov.tw,國家通訊傳播委員會-主管法規查詢系統(外部版),211.79.138.113,Microsoft-IIS/7.5
kids.ey.gov.tw,"行政院全球資訊網 - 兒童版",117.56.132.11,
eyemail.ey.gov.tw,,117.56.132.40,
www.bost.ey.gov.tw,行政院科技會報,117.56.132.11,
www.cpc.ey.gov.tw,行政院消費者保護會,117.56.132.11,
www.nici.ey.gov.tw,NICI中文網,117.56.132.11,
www.nicst.ey.gov.tw,行政院國家資通安全會報,117.56.132.11,
www.cdprc.ey.gov.tw,行政院中央災害防救會報,117.56.132.11,
www.eycc.ey.gov.tw,行政院中部聯合服務中心,117.56.132.11,
www.eysc.ey.gov.tw,行政院南部聯合服務中心,117.56.132.11,
www.eyec.ey.gov.tw,行政院東部聯合服務中心,117.56.132.11,
www.yctc.ey.gov.tw,行政院雲嘉南區聯合服務中心,117.56.132.11,
www.sfaa.gov.tw,"::: 歡迎蒞臨社家署全球資訊網 :::",210.241.100.195,Microsoft-IIS/7.5
www.apc.gov.tw,,210.69.14.134,"Apache/2.2.25 (Win32) mod_jk/1.2.37"
nsdn.epa.gov.tw,,223.200.80.87,Microsoft-IIS/7.5
www.cga.gov.tw,,210.241.92.252,Apache-Coyote/1.1
istf.ey.gov.tw,創創會報,117.56.132.11,
web3.moeaboe.gov.tw,經濟部能源局,210.69.152.15,Microsoft-IIS/7.5
history.ey.gov.tw,行政院珍貴史料展示,117.56.132.11,
open2u.mac.gov.tw,,,
investtaiwan.nat.gov.tw,"投資台灣入口網 - 首頁",210.69.121.130,Apache-Coyote/1.1
law.mac.gov.tw,,,
www2.mac.gov.tw,陸委會關懷大陸配偶專區,117.56.123.5,Microsoft-IIS/7.5
dmz20.moea.gov.tw,,210.69.121.12,
www.moeacgs.gov.tw,,210.69.81.84,Microsoft-IIS/5.0
www.emic.gov.tw,防救災雲端計畫-災害情報站,117.56.75.11,Microsoft-IIS/7.5
www.trade.gov.tw,國際貿易局,163.29.159.111,
safety.bsmi.gov.tw,"BSMI 經濟部標準檢驗局 商品安全資訊網",210.69.140.1,Apache-Coyote/1.1
gcis.nat.gov.tw,,163.29.187.206,Sun-Java-System-Web-Server/7.0
moeaca.nat.gov.tw,,210.241.69.226,Apache
maritimeinfo.moi.gov.tw,,210.69.35.189,Microsoft-IIS/6.0
www.csptc.gov.tw,公務人員保障暨培訓委員會(保訓會),117.56.22.218,Microsoft-IIS/8.5
public.nacs.gov.tw,全民e學堂,117.56.4.67,"Apache/2.2.3 (CentOS)"
nit.immigration.gov.tw,,117.56.25.88,Microsoft-IIS/8.0
web.cec.gov.tw,,117.56.68.26,Apache
ngis.moea.gov.tw,經濟部-自然環境資料庫,210.69.121.13,Microsoft-IIS/7.0
egis.moea.gov.tw,,210.69.121.18,nginx/1.8.0
english.ymsnp.gov.tw,"Home | Yangmingshan National Park",210.69.204.113,Microsoft-IIS/7.5
japanese.ymsnp.gov.tw,"ホーム | 陽明山国家公園",210.69.204.113,Microsoft-IIS/7.5
kids.ymsnp.gov.tw,"首頁 | 陽明山國家公園",210.69.204.113,Microsoft-IIS/7.5
eip.ymsnp.gov.tw,,210.241.38.161,Microsoft-IIS/8.5
www.cpami.gov.tw,"首頁 | 中華民國內政部營建署全球資訊網",117.56.58.212,Apache
npda.cpami.gov.tw,,210.69.84.170,
tagv.moi.gov.tw,,,
np.cpami.gov.tw,,210.69.84.113,"Apache/2.2.3 (Scientific Linux)"
old.taroko.gov.tw,,,
www.forest.gov.tw,"林務局全球資訊網 - 林務局全球資訊網",223.200.90.182,
visawebapp.boca.gov.tw,,,Apache
docauth.boca.gov.tw,,210.69.145.100,Apache
www.ris.gov.tw,"內政部戶政司 全‧球‧資‧訊‧網",210.241.14.39,
www.studyabroad.moe.gov.tw,,140.111.34.84,
www.ocac.gov.tw,,117.56.91.135,
www.wda.gov.tw,,117.56.83.12,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips Resin/3.1.12"
www.nca.gov.tw,內政部役政署,163.29.79.240,
www.cdc.gov.tw,衛生福利部疾病管制署,61.57.41.136,Microsoft-IIS/8.0
www.tbroc.gov.tw,交通部觀光局,211.79.201.15,Microsoft-IIS/7.0
www.mocs.gov.tw,銓敍部全球資訊網,210.69.104.45,Microsoft-IIS/7.5
www.immigration.gov.tw,中華民國內政部移民署全球資訊網,117.56.25.3,Microsoft-IIS/7.0
www.moc.gov.tw,中華民國文化部-首頁,210.69.147.125,Microsoft-IIS/8.5
superspace.moc.gov.tw,文化部-地方文化館,210.69.147.119,Microsoft-IIS/8.5
www.cib.gov.tw,內政部警政署刑事警察局全球資訊網中文版,210.69.153.1,Apache
rural.swcb.gov.tw,農村風情網,117.56.222.143,Microsoft-IIS/7.5
www.ttcsec.gov.tw,,210.69.147.125,Microsoft-IIS/8.5
near.archives.gov.tw,,,
ecpa.dgpa.gov.tw,,,
165.gov.tw,,61.57.47.1,Microsoft-IIS/6.0
www.bli.gov.tw,"國民年金簡介 - 勞動部勞工保險局全球資訊網",202.39.145.114,
88flood.www.gov.tw,,,
job.gov.tw,,,
startup.sme.gov.tw,"IEIT | International Entrepreneur Initiative Taiwan",61.57.43.153,"Apache/2.4.12 (Win64) OpenSSL/1.0.1m PHP/5.5.25"
learningup.sme.gov.tw,,61.57.43.153,"Apache/2.4.12 (Win64) OpenSSL/1.0.1m PHP/5.5.25"
ifarmer.coa.gov.tw,行政院農委會青年農民創業入口網,210.69.75.121,Apache
tagvvideo.mohw.gov.tw,TAGV反性別暴力資源網影音專區,203.65.97.23,Microsoft-IIS/7.5
jirs.judicial.gov.tw,法學資料檢索系統,210.69.124.221,
domestic.judicial.gov.tw,"IBM HTTP Server",210.69.124.235,
cpor.judicial.gov.tw,,210.69.124.237,Apache-Coyote/1.1
cdcb.judicial.gov.tw,"IBM HTTP Server",210.69.124.235,
sen.judicial.gov.tw,司法院量刑資訊服務平台_民眾版,210.69.124.202,"Apache/2.2.19 (Win32)"
fjudkm.judicial.gov.tw,司法智識庫--首頁,210.69.124.200,Microsoft-IIS/6.0
www.rjsd.moj.gov.tw,法務統計資訊網,163.29.130.186,Microsoft-IIS/7.5
www.poi.moj.gov.tw,資訊的力量POI,163.29.130.141,Microsoft-IIS/7.5
service.moj.gov.tw,,163.29.130.137,Microsoft-IIS/6.0
aedoc.moj.gov.tw,,163.29.130.189,Microsoft-IIS/7.5
english.president.gov.tw,"Office of the President, ROC (Taiwan)-Home",117.56.6.12,
etaipei.customs.gov.tw,"Home - Taipei Customs",210.69.119.1,Microsoft-IIS/7.5
db.customs.gov.tw,,210.69.119.2,
www.baphiq.gov.tw,行政院農委會動植物防疫檢疫局,163.29.152.12,"Apache/2.2.15 (CentOS)"
www.boaf.gov.tw,農業金融局-修正「農業金融機構因應禽流感疫情之協助措施」相關申請書表及提供問與答,163.29.171.7,BOAF
ebook.hbtc.gov.tw,首頁,210.69.45.49,"Apache/2.2.15 (CentOS)"
fmap.hlshb.gov.tw,自動轉頁,203.65.62.122,"Apache/2.2.3 (CentOS)"
ibaby.mohw.gov.tw,,203.65.107.81,
children.moc.gov.tw,"文化部兒童文化館 - 2016前導動畫",163.29.7.8,Apache
news.immigration.gov.tw,新移民全球新聞網,117.56.25.96,Microsoft-IIS/8.0
www.most.gov.tw,「科技部全球資訊網」(MOST),61.60.96.7,Varnish
mobile.stat.gov.tw,中華民國統計資訊網,117.56.91.10,Microsoft-IIS/7.0
chiefmesg.dgpa.gov.tw,"行政院人事行政總處- Directorate-General of Personnel Administration,Executive Yuan",210.69.186.91,Microsoft-IIS/8.5
pics.dgpa.gov.tw,PICS人事資訊系統客服網,210.69.85.39,Microsoft-IIS/7.5
report.nat.gov.tw,OPEN,117.56.68.88,Apache-Coyote/1.1
web3.dgpa.gov.tw,,,
eserver.dgpa.gov.tw,,,
web.dgpa.gov.tw,"行政院人事行政總處- Directorate-General of Personnel Administration,Executive Yuan",210.69.186.91,Microsoft-IIS/8.5
www.cepd.gov.tw,,117.56.122.1,
eeis.epa.gov.tw,,223.200.80.61,
aa.archives.gov.tw,,210.69.72.88,
web.epa.gov.tw,行政院環境保護署,223.200.80.126,Microsoft-IIS/6.0
taqm.epa.gov.tw,行政院環境保護署－空氣品質監測網,223.200.80.179,Microsoft-IIS/8.5
ienv.epa.gov.tw,"愛環境 - 行政院環境保護署",117.56.10.57,Microsoft-IIS/8.5
wq.epa.gov.tw,行政院環保署-全國環境水質監測資訊網,223.200.80.185,Microsoft-IIS/8.5
eiadoc.epa.gov.tw,,223.200.80.237,Microsoft-IIS/8.5
air.epa.gov.tw,:::::::::::::歡迎光臨行政院環境保護署空氣品質保護及噪音管制處:::::::::,223.200.80.88,Microsoft-IIS/7.5
iaq.epa.gov.tw,,223.200.80.88,Microsoft-IIS/7.5
mobile.epa.gov.tw,移動污染源管制網,223.200.80.39,Microsoft-IIS/8.5
river.epa.gov.tw,河川揚塵防制推動資訊網平台,223.200.80.197,Microsoft-IIS/8.5
freshair.epa.gov.tw,空氣品質淨化區及環境綠化育苗計畫,223.200.80.197,Microsoft-IIS/8.5
air10.epa.gov.tw,,223.200.80.2,
dws.epa.gov.tw,行政院環境保護署飲用水全球資訊網-首頁,223.200.80.98,Microsoft-IIS/7.5
wqp.epa.gov.tw,,,
sgw.epa.gov.tw,土壤及地下水污染整治網,223.200.80.155,Microsoft-IIS/7.5
ust.epa.gov.tw,土壤及地下水管理資訊系統,117.56.10.25,Microsoft-IIS/7.5
sgwb.epa.gov.tw,,117.56.10.21,
lcss.epa.gov.tw,"::: 低碳永續家園資訊網 :::",223.200.80.59,Microsoft-IIS/7.5
cfp.epa.gov.tw,,223.200.80.90,Microsoft-IIS/8.5
ncs.epa.gov.tw,噪音管制資訊網,223.200.80.131,Microsoft-IIS/7.5
ivy1.epa.gov.tw,,,
www.niea.gov.tw,,117.56.10.12,Microsoft-IIS/7.0
sedr.epa.gov.tw,,223.200.80.168,Microsoft-IIS/8.5
recycle.epa.gov.tw,"資源回收網(資源回收專線:0800-085717您幫我 清一清)",223.200.80.178,Microsoft-IIS/8.5
recycle2.epa.gov.tw,資源回收管理資訊系統,223.200.80.178,Microsoft-IIS/8.5
recycle1.epa.gov.tw,營業量申報網站,223.200.80.140,Microsoft-IIS/7.5
epamotor.epa.gov.tw,廢機動車輛報廢回收系統,223.200.80.178,Microsoft-IIS/8.5
enews.epa.gov.tw,,23.101.12.249,Microsoft-IIS/7.5
doc.epa.gov.tw,,223.200.80.79,Microsoft-IIS/7.5
opendata.epa.gov.tw,"OpenData.epa 行政院環境保護署 環境資源資料開放平台",223.200.80.138,Microsoft-IIS/8.0
eiacs.epa.gov.tw,"IIS Windows Server",223.200.80.161,Microsoft-IIS/8.5
tcscachemreg.epa.gov.tw,化學物質登錄平台,223.200.80.160,epa
prtr.epa.gov.tw,"列管污染源資料查詢系統 - 首頁",223.200.80.127,Microsoft-IIS/8.0
ivy5.epa.gov.tw,"環保法規查詢系統 - 首頁",223.200.80.167,Microsoft-IIS/8.5
erdb.epa.gov.tw,環境資源資料庫,223.200.80.118,Microsoft-IIS/7.5
epq.epa.gov.tw,環保專案成果報告查詢系統,223.200.80.154,Microsoft-IIS/7.5
waste1.epa.gov.tw,系統公告,223.200.80.47,Microsoft-IIS/8.5
ww3.epa.gov.tw,,117.56.10.7,Microsoft-IIS/8.5
wpcf.epa.gov.tw,【行政院環境保護署】水污染防治費網路申報暨查詢系統,223.200.80.182,Microsoft-IIS/8.5
waste.epa.gov.tw,事業廢棄物申報及管理資訊系統(諮詢專線：0800-059777),223.200.80.27,Microsoft-IIS/8.5
flora2.epa.gov.tw,毒性化學物質登記申報系統,223.200.80.19,Microsoft-IIS/7.0
emis.epa.gov.tw,"環境災害管理資訊系統. V3.0326",223.200.80.22,Microsoft-IIS/8.5
a0-oaout.epa.gov.tw,"Microsoft Internet Information Services 8",223.200.80.146,Microsoft-IIS/8.0
a0-moenrhome.epa.gov.tw,,223.200.80.200,
msg.nat.gov.tw,國家發展委員會e管家Plus,117.56.91.61,Apache-Coyote/1.1
kid.archives.gov.tw,國家發展委員會檔案管理局兒童版,210.69.72.54,Microsoft-IIS/7.5
atc.archives.gov.tw,國家發展委員會檔案管理局檔案時光盒,210.69.72.88,Microsoft-IIS/7.5
art.archives.gov.tw,國家發展委員會檔案管理局-檔案支援教學網,210.69.72.86,Microsoft-IIS/7.5
pearl.archives.gov.tw,電子檔案保存實驗室,210.69.72.57,"Apache/2.2.25 (Win64) PHP/5.3.13"
alohas.archives.gov.tw,國家發展委員會檔案管理局-全球資訊網-首頁-國家檔案-檔案樂活情報,210.69.72.54,Microsoft-IIS/7.5
online.archives.gov.tw,,,
across.archives.gov.tw,,210.69.72.90,"Apache/2.2.26 (CentOS)"
www.good.nat.gov.tw,,117.56.166.14,Apache
wiki.archives.gov.tw,首頁,210.69.72.57,"Apache/2.2.25 (Win64) PHP/5.3.13"
www.th.gov.tw,歡迎來到＝國史館臺灣文獻館＝,163.29.208.10,"Apache/2.4.7 (Ubuntu)"
khm.gov.tw,高雄市立歷史博物館,163.29.241.75,Microsoft-IIS/7.5
yihistory.e-land.gov.tw,宜蘭縣史館,210.69.148.14,Microsoft-IIS/8.5
appeal.cpc.ey.gov.tw,行政院消費者保護會線上申訴系統,117.56.132.39,
www.nfa.gov.tw,,117.56.75.10,Microsoft-IIS/7.5
www.wra.gov.tw,"經濟部水利署全球資訊網 Water Resources Agency, Ministry of Economic Affairs",117.56.10.71,Microsoft-IIS/7.5
www.thb.gov.tw,公路總局,210.69.58.33,Microsoft-IIS/8.5
www.aec.gov.tw,行政院原子能委員會全球資訊網,192.192.18.59,"Apache/2.2.3 (CentOS)"
www.swcb.gov.tw,行政院農業委員會水土保持局全球資訊網,210.69.127.3,Microsoft-IIS/7.5
www.ncdr.nat.gov.tw,國家災害防救科技中心,61.56.4.12,Microsoft-IIS/7.5
eoc.nfa.gov.tw,,210.69.173.37,Microsoft-IIS/7.5
www.president.gov.tw,中華民國總統府網站-首頁,117.56.6.1,
www.tpg.gov.tw,臺灣省政府全球資訊網,210.69.70.22,Microsoft-IIS/6.0
www.mol.gov.tw,"中華民國勞動部 - 勞動部全球資訊網中文網",163.29.140.51,
job.ktec.gov.tw,"線上職缺系統 高雄市勞工局訓練就業中心",163.29.248.224,"Apache/2.2.15 (CentOS)"
ys.nat.gov.tw,青年職涯發展中心,210.71.198.27,Microsoft-IIS/7.5
rdrc.mnd.gov.tw,國防部人才招募中心,210.69.230.67,Microsoft-IIS/7.5
empower.swcb.gov.tw,農村再生培根計畫,117.56.222.146,Microsoft-IIS/7.5
www.suhua.gov.tw,,,
www.hakka.gov.tw,"客家委員會全球資訊網 Council for Hakka Affairs",117.56.132.193,Microsoft-IIS/6.0
www.hl.gov.tw,,210.69.167.2,Apache
academy.coa.gov.tw,農民學院,210.69.75.117,Apache
www.taitung.gov.tw,,163.29.101.100,Microsoft-IIS/7.5
tung.hakka.gov.tw,,117.56.91.26,
www.swcoast-nsa.gov.tw,交通部觀光局雲嘉南濱海國家風景區管理處-行政資訊網,211.79.201.13,Microsoft-IIS/7.0
yct168.wda.gov.tw,雲嘉南分署全球資訊網,117.56.83.16,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips Resin/3.1.12"
system.sfaa.gov.tw,,210.241.100.214,
e-care.sfaa.gov.tw,"中華民國衛生福利部 照顧服務便民入口網站",203.65.97.108,"Apache/2.0.63 (Win32) mod_jk/1.2.37"
cwisweb.sfaa.gov.tw,,203.65.97.195,
repat.sfaa.gov.tw,輔具資源入口網,203.65.97.66,Microsoft-IIS/6.0
dpws.sfaa.gov.tw,,203.65.97.129,
ptp.sfaa.gov.tw,,210.241.100.198,
sowffd.sfaa.gov.tw,,203.65.97.89,
babyedu.sfaa.gov.tw,,210.61.12.177,
med.nhi.gov.tw,,210.69.214.170,
