domain,title,ip,server,encode
youth-resources.yda.gov.tw,"首頁 - 青年資源讚",140.111.26.49,Microsoft-IIS/7.5,utf8
women.nmth.gov.tw,臺灣女人,210.69.147.125,Microsoft-IIS/8.5,utf8
www.einvoice.nat.gov.tw,,117.56.24.203,,utf8
servicelearning.yda.gov.tw,,140.111.26.46,,utf8
rich.yda.gov.tw,RICH職場體驗網-提供最夯打工、實習職缺，讓您了解工讀權益等資訊,140.111.26.41,"Apache/2.2.15 (CentOS)",utf8
gysd.yda.gov.tw,,140.111.26.44,,utf8
ustart.yda.gov.tw,,140.137.206.201,Apache,utf8
young.ejob.gov.tw,青年圓夢網,124.199.93.104,Microsoft-IIS/7.5,big5
ulist.moe.gov.tw,,,,utf8
language.moe.gov.tw,"教育部 語文成果網 【首頁】",140.111.1.91,Microsoft-IIS/7.5,utf8
www.dgbas.gov.tw,行政院主計總處,117.56.166.92,Microsoft-IIS/8.0,utf8
www.stat.gov.tw,中華民國統計資訊網（專業人士）,117.56.166.92,Microsoft-IIS/8.0,utf8
www.ndc.gov.tw,國家發展委員會,117.56.68.133,Microsoft-IIS/8.0,utf8
ebas1.ebas.gov.tw,為提供更優質的服務，進行網站伺服器軟硬體升級,61.60.106.118,Microsoft-IIS/8.0,big5
statis.moi.gov.tw,,210.69.35.208,Apache-Coyote/1.1,utf8
www.cla.gov.tw,,,,utf8
www.csptc.gov.tw,公務人員保障暨培訓委員會(保訓會),117.56.22.218,Microsoft-IIS/8.5,utf8
www.ejob.gov.tw,,124.199.93.144,Microsoft-IIS/6.0,utf8
www.mol.gov.tw,"中華民國勞動部 - 勞動部全球資訊網中文網",163.29.140.51,,utf8
www8.www.gov.tw,電子化政府入口網,117.56.68.141,Microsoft-IIS/7.5,big5
news.ey.gov.tw,,,,utf8
across.archives.gov.tw,"國家發展委員會檔案管理局National Archives Administration-檔案資源整合查詢平台",210.69.72.90,Apache,utf8
